mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
21,,160,110,3.9,2.62,16.46,,1,4,4
21,,160,110,3.9,2.875,17.02,,1,4,4
22.8,,108,93,3.85,2.32,18.61,,1,4,1
21.4,,258,110,3.08,3.215,19.44,,0,3,1
18.7,,360,175,3.15,3.44,17.02,,0,3,2
18.1,,225,105,2.76,3.46,20.22,,0,3,1
14.3,,360,245,3.21,3.57,15.84,,0,3,4
24.4,,146.7,62,3.69,3.19,20,,0,4,2
22.8,,140.8,95,3.92,3.15,22.9,,0,4,2
19.2,,167.6,123,3.92,3.44,18.3,1,0,4,4
17.8,,167.6,123,3.92,3.44,18.9,1,0,4,4
16.4,,275.8,180,3.07,4.07,17.4,0,0,3,3
17.3,,275.8,180,,3.73,17.6,0,0,3,3
15.2,,275.8,180,,3.78,18,0,0,3,3
10.4,,472,205,,5.25,17.98,0,0,3,4
10.4,,460,215,,5.424,17.82,0,0,3,4
14.7,,440,230,,5.345,17.42,0,0,3,4
32.4,,78.7,66,,2.2,19.47,1,1,4,1
30.4,,75.7,52,4.93,1.615,18.52,1,1,4,2
33.9,,71.1,65,4.22,1.835,19.9,1,1,4,1
21.5,,120.1,97,3.7,2.465,20.01,1,0,3,1
15.5,,318,150,2.76,3.52,16.87,0,0,3,2
15.2,,304,150,3.15,3.435,17.3,0,0,3,2
13.3,,350,245,3.73,3.84,15.41,0,0,3,4
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2
30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
15.8,8,351,264,4.22,3.17,14.5,0,1,5,4
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6
15,8,301,335,3.54,3.57,14.6,0,1,5,8
21.4,4,121,109,4.11,2.78,18.6,1,1,4,2
